training
lr, dw 0.0001 1e-12
test tensor(0.1569, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1470, grad_fn=<MeanBackward0>) dev tensor(0.0008, grad_fn=<SelectBackward>)
test tensor(0.1372, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1250, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1117, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1003, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0915, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0815, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.0757, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0666, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0598, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0549, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0492, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0433, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-12
test tensor(0.1740, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
test tensor(0.1658, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1530, grad_fn=<MeanBackward0>) dev tensor(0.0015, grad_fn=<SelectBackward>)
test tensor(0.1429, grad_fn=<MeanBackward0>) dev tensor(0.0010, grad_fn=<SelectBackward>)
test tensor(0.1324, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1181, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.1073, grad_fn=<MeanBackward0>) dev tensor(0.0009, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-12
