training
lr, dw 0.0001 1e-06
test tensor(0.4775, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.4596, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.4385, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.4131, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3860, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.3689, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3496, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3319, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.3109, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2882, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2669, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2485, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2344, grad_fn=<MeanBackward0>) dev tensor(8.8400e-05, grad_fn=<SelectBackward>)
test tensor(0.2173, grad_fn=<MeanBackward0>) dev tensor(8.0009e-05, grad_fn=<SelectBackward>)
test tensor(0.1973, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1825, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1667, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1553, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1433, grad_fn=<MeanBackward0>) dev tensor(9.5535e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.4175, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.3862, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3625, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3407, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3218, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2983, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.4618, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.4413, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.4298, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3987, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3832, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3672, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3390, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.3273, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.3728, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3462, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3251, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3028, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2829, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2649, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2463, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2270, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2115, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1974, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1818, grad_fn=<MeanBackward0>) dev tensor(7.7450e-05, grad_fn=<SelectBackward>)
test tensor(0.1673, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1588, grad_fn=<MeanBackward0>) dev tensor(9.8602e-05, grad_fn=<SelectBackward>)
test tensor(0.1477, grad_fn=<MeanBackward0>) dev tensor(5.8234e-05, grad_fn=<SelectBackward>)
test tensor(0.1343, grad_fn=<MeanBackward0>) dev tensor(9.3173e-05, grad_fn=<SelectBackward>)
test tensor(0.1229, grad_fn=<MeanBackward0>) dev tensor(6.1162e-05, grad_fn=<SelectBackward>)
test tensor(0.1112, grad_fn=<MeanBackward0>) dev tensor(5.6021e-05, grad_fn=<SelectBackward>)
test tensor(0.0974, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0897, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0824, grad_fn=<MeanBackward0>) dev tensor(4.5751e-05, grad_fn=<SelectBackward>)
test tensor(0.0746, grad_fn=<MeanBackward0>) dev tensor(7.2964e-05, grad_fn=<SelectBackward>)
test tensor(0.0659, grad_fn=<MeanBackward0>) dev tensor(8.2193e-05, grad_fn=<SelectBackward>)
test tensor(0.0583, grad_fn=<MeanBackward0>) dev tensor(6.9639e-05, grad_fn=<SelectBackward>)
test tensor(0.0508, grad_fn=<MeanBackward0>) dev tensor(3.9283e-05, grad_fn=<SelectBackward>)
test tensor(0.0448, grad_fn=<MeanBackward0>) dev tensor(8.0490e-05, grad_fn=<SelectBackward>)
test tensor(0.0403, grad_fn=<MeanBackward0>) dev tensor(4.7647e-05, grad_fn=<SelectBackward>)
test tensor(0.0359, grad_fn=<MeanBackward0>) dev tensor(2.2725e-05, grad_fn=<SelectBackward>)
test tensor(0.0322, grad_fn=<MeanBackward0>) dev tensor(3.1657e-05, grad_fn=<SelectBackward>)
test tensor(0.0286, grad_fn=<MeanBackward0>) dev tensor(3.3488e-05, grad_fn=<SelectBackward>)
test tensor(0.0260, grad_fn=<MeanBackward0>) dev tensor(1.1180e-05, grad_fn=<SelectBackward>)
test tensor(0.0225, grad_fn=<MeanBackward0>) dev tensor(9.6261e-06, grad_fn=<SelectBackward>)
test tensor(0.0198, grad_fn=<MeanBackward0>) dev tensor(1.7358e-05, grad_fn=<SelectBackward>)
test tensor(0.0181, grad_fn=<MeanBackward0>) dev tensor(8.5948e-06, grad_fn=<SelectBackward>)
test tensor(0.0163, grad_fn=<MeanBackward0>) dev tensor(7.8782e-06, grad_fn=<SelectBackward>)
test tensor(0.0146, grad_fn=<MeanBackward0>) dev tensor(7.8039e-06, grad_fn=<SelectBackward>)
test tensor(0.0133, grad_fn=<MeanBackward0>) dev tensor(1.7314e-05, grad_fn=<SelectBackward>)
test tensor(0.0125, grad_fn=<MeanBackward0>) dev tensor(1.4952e-05, grad_fn=<SelectBackward>)
test tensor(0.0122, grad_fn=<MeanBackward0>) dev tensor(7.2438e-06, grad_fn=<SelectBackward>)
test tensor(0.0119, grad_fn=<MeanBackward0>) dev tensor(5.0047e-06, grad_fn=<SelectBackward>)
test tensor(0.0117, grad_fn=<MeanBackward0>) dev tensor(1.2648e-05, grad_fn=<SelectBackward>)
test tensor(0.0119, grad_fn=<MeanBackward0>) dev tensor(6.6581e-06, grad_fn=<SelectBackward>)
test tensor(0.0121, grad_fn=<MeanBackward0>) dev tensor(6.6387e-06, grad_fn=<SelectBackward>)
test tensor(0.0127, grad_fn=<MeanBackward0>) dev tensor(4.3098e-06, grad_fn=<SelectBackward>)
test tensor(0.0134, grad_fn=<MeanBackward0>) dev tensor(1.7866e-05, grad_fn=<SelectBackward>)
test tensor(0.0144, grad_fn=<MeanBackward0>) dev tensor(5.5882e-06, grad_fn=<SelectBackward>)
test tensor(0.0157, grad_fn=<MeanBackward0>) dev tensor(5.9155e-06, grad_fn=<SelectBackward>)
test tensor(0.0166, grad_fn=<MeanBackward0>) dev tensor(1.0336e-05, grad_fn=<SelectBackward>)
test tensor(0.0182, grad_fn=<MeanBackward0>) dev tensor(1.8531e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.3772, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3512, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.3377, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.3125, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.2984, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2814, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2643, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.2476, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2319, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2154, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1977, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1839, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1713, grad_fn=<MeanBackward0>) dev tensor(9.6571e-05, grad_fn=<SelectBackward>)
test tensor(0.1567, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1472, grad_fn=<MeanBackward0>) dev tensor(4.8851e-05, grad_fn=<SelectBackward>)
test tensor(0.1330, grad_fn=<MeanBackward0>) dev tensor(6.7394e-05, grad_fn=<SelectBackward>)
test tensor(0.1201, grad_fn=<MeanBackward0>) dev tensor(5.3583e-05, grad_fn=<SelectBackward>)
test tensor(0.1110, grad_fn=<MeanBackward0>) dev tensor(3.7188e-05, grad_fn=<SelectBackward>)
test tensor(0.1009, grad_fn=<MeanBackward0>) dev tensor(4.0048e-05, grad_fn=<SelectBackward>)
test tensor(0.0905, grad_fn=<MeanBackward0>) dev tensor(5.7625e-05, grad_fn=<SelectBackward>)
test tensor(0.0832, grad_fn=<MeanBackward0>) dev tensor(2.7882e-05, grad_fn=<SelectBackward>)
test tensor(0.0734, grad_fn=<MeanBackward0>) dev tensor(4.6557e-05, grad_fn=<SelectBackward>)
test tensor(0.0634, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0572, grad_fn=<MeanBackward0>) dev tensor(8.4073e-05, grad_fn=<SelectBackward>)
test tensor(0.0510, grad_fn=<MeanBackward0>) dev tensor(2.9053e-05, grad_fn=<SelectBackward>)
test tensor(0.0439, grad_fn=<MeanBackward0>) dev tensor(3.4038e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-06
test tensor(0.4068, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.3765, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3500, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.3187, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.3016, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.2714, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.2551, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
