training
lr, dw 0.0002 1e-06
test tensor(0.1432, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1390, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1250, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1170, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1038, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0952, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0847, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
lr, dw 0.0002 1e-06
test tensor(0.1244, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1202, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1174, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1132, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1092, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1034, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0985, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0931, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0891, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0829, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
lr, dw 0.0002 1e-06
test tensor(0.1152, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1086, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1027, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0928, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0882, grad_fn=<MeanBackward0>) dev tensor(8.5195e-05, grad_fn=<SelectBackward>)
test tensor(0.0793, grad_fn=<MeanBackward0>) dev tensor(9.1124e-05, grad_fn=<SelectBackward>)
test tensor(0.0717, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0637, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0551, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0476, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
lr, dw 0.0002 1e-06
test tensor(0.1113, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0974, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0848, grad_fn=<MeanBackward0>) dev tensor(0.0007, grad_fn=<SelectBackward>)
test tensor(0.0784, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0654, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.0621, grad_fn=<MeanBackward0>) dev tensor(7.1025e-05, grad_fn=<SelectBackward>)
test tensor(0.0499, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0426, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0356, grad_fn=<MeanBackward0>) dev tensor(8.0331e-05, grad_fn=<SelectBackward>)
test tensor(0.0284, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0242, grad_fn=<MeanBackward0>) dev tensor(5.7464e-05, grad_fn=<SelectBackward>)
test tensor(0.0199, grad_fn=<MeanBackward0>) dev tensor(4.0535e-05, grad_fn=<SelectBackward>)
test tensor(0.0148, grad_fn=<MeanBackward0>) dev tensor(4.1202e-05, grad_fn=<SelectBackward>)
test tensor(0.0109, grad_fn=<MeanBackward0>) dev tensor(8.1548e-05, grad_fn=<SelectBackward>)
test tensor(0.0086, grad_fn=<MeanBackward0>) dev tensor(3.4531e-05, grad_fn=<SelectBackward>)
test tensor(0.0059, grad_fn=<MeanBackward0>) dev tensor(2.7203e-05, grad_fn=<SelectBackward>)
test tensor(0.0037, grad_fn=<MeanBackward0>) dev tensor(3.4153e-05, grad_fn=<SelectBackward>)
test tensor(0.0026, grad_fn=<MeanBackward0>) dev tensor(2.9663e-05, grad_fn=<SelectBackward>)
test tensor(0.0015, grad_fn=<MeanBackward0>) dev tensor(2.4309e-05, grad_fn=<SelectBackward>)
test tensor(0.0009, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0002, grad_fn=<MeanBackward0>) dev tensor(4.4745e-05, grad_fn=<SelectBackward>)
test tensor(0.0003, grad_fn=<MeanBackward0>) dev tensor(1.8930e-05, grad_fn=<SelectBackward>)
test tensor(0.0008, grad_fn=<MeanBackward0>) dev tensor(1.7443e-05, grad_fn=<SelectBackward>)
test tensor(0.0014, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0025, grad_fn=<MeanBackward0>) dev tensor(3.4250e-05, grad_fn=<SelectBackward>)
test tensor(0.0039, grad_fn=<MeanBackward0>) dev tensor(2.9107e-05, grad_fn=<SelectBackward>)
test tensor(0.0051, grad_fn=<MeanBackward0>) dev tensor(5.6211e-05, grad_fn=<SelectBackward>)
test tensor(0.0069, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
lr, dw 0.0002 1e-06
test tensor(0.1200, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1061, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0958, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0911, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0806, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0730, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
lr, dw 0.0002 1e-06
test tensor(0.1380, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1323, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1225, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1141, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1040, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0921, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0860, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0797, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0691, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
lr, dw 0.0002 1e-06
test tensor(0.1209, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1092, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1039, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0948, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0825, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.0789, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0708, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0684, grad_fn=<MeanBackward0>) dev tensor(7.4768e-05, grad_fn=<SelectBackward>)
test tensor(0.0614, grad_fn=<MeanBackward0>) dev tensor(7.0522e-05, grad_fn=<SelectBackward>)
test tensor(0.0535, grad_fn=<MeanBackward0>) dev tensor(8.7606e-05, grad_fn=<SelectBackward>)
test tensor(0.0466, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0419, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0379, grad_fn=<MeanBackward0>) dev tensor(7.1107e-05, grad_fn=<SelectBackward>)
test tensor(0.0324, grad_fn=<MeanBackward0>) dev tensor(9.5051e-05, grad_fn=<SelectBackward>)
lr, dw 0.0002 1e-06
test tensor(0.0887, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0810, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0753, grad_fn=<MeanBackward0>) dev tensor(7.9327e-05, grad_fn=<SelectBackward>)
test tensor(0.0649, grad_fn=<MeanBackward0>) dev tensor(9.9409e-05, grad_fn=<SelectBackward>)
test tensor(0.0568, grad_fn=<MeanBackward0>) dev tensor(7.9679e-05, grad_fn=<SelectBackward>)
test tensor(0.0505, grad_fn=<MeanBackward0>) dev tensor(7.3874e-05, grad_fn=<SelectBackward>)
test tensor(0.0436, grad_fn=<MeanBackward0>) dev tensor(5.5457e-05, grad_fn=<SelectBackward>)
test tensor(0.0354, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0336, grad_fn=<MeanBackward0>) dev tensor(9.8024e-05, grad_fn=<SelectBackward>)
test tensor(0.0290, grad_fn=<MeanBackward0>) dev tensor(5.5328e-05, grad_fn=<SelectBackward>)
test tensor(0.0232, grad_fn=<MeanBackward0>) dev tensor(5.3175e-05, grad_fn=<SelectBackward>)
test tensor(0.0177, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0136, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0111, grad_fn=<MeanBackward0>) dev tensor(3.0791e-05, grad_fn=<SelectBackward>)
test tensor(0.0091, grad_fn=<MeanBackward0>) dev tensor(6.9892e-05, grad_fn=<SelectBackward>)
test tensor(0.0064, grad_fn=<MeanBackward0>) dev tensor(2.5269e-05, grad_fn=<SelectBackward>)
test tensor(0.0049, grad_fn=<MeanBackward0>) dev tensor(3.3193e-05, grad_fn=<SelectBackward>)
